index,dropoff_latitude,dropoff_longitude,dropoff_datetime
68266,40.759437561035156,-73.98724365234375,2016-01-14 08:00:18+00:00
70588,40.763919830322266,-73.97532653808595,2016-01-14 08:00:22+00:00
72507,40.76615524291992,-73.9538345336914,2016-01-14 08:00:00+00:00
76707,40.7388801574707,-73.98052978515625,2016-01-14 08:00:10+00:00
77661,40.76663208007813,-73.95702362060547,2016-01-14 08:00:01+00:00
79200,40.706336975097656,-74.00559997558595,2016-01-14 08:00:02+00:00
80665,40.78390121459961,-73.98016357421875,2016-01-14 08:00:11+00:00
82392,40.757755279541016,-73.98896026611328,2016-01-14 08:00:05+00:00
86636,40.738529205322266,-73.97723388671875,2016-01-14 08:00:02+00:00
88487,40.77552032470703,-73.96060180664062,2016-01-14 08:00:25+00:00
92548,40.75636672973633,-74.00160217285155,2016-01-14 08:00:08+00:00
96115,40.77903366088867,-73.95571899414062,2016-01-14 08:00:25+00:00
102839,40.751380920410156,-73.9754180908203,2016-01-14 08:00:23+00:00
104221,40.77899932861328,-73.984619140625,2016-01-14 08:00:14+00:00
105984,40.81582260131836,-73.93685150146483,2016-01-14 08:00:07+00:00
108129,40.74580383300781,-73.98857879638672,2016-01-14 08:00:09+00:00
109076,40.73068618774415,-73.9911880493164,2016-01-14 08:00:23+00:00
110580,40.768699645996094,-73.94998931884766,2016-01-14 08:00:02+00:00
112018,40.71557235717773,-74.01348876953125,2016-01-14 08:00:21+00:00
115456,40.780006408691406,-73.9593734741211,2016-01-14 08:00:06+00:00
115790,40.75751876831055,-73.9736785888672,2016-01-14 08:00:08+00:00
118013,40.77120971679688,-73.961669921875,2016-01-14 08:00:29+00:00
119100,40.7070198059082,-74.00753784179686,2016-01-14 08:00:09+00:00
119125,40.750579833984375,-73.9814910888672,2016-01-14 08:00:24+00:00
122138,40.75273132324219,-73.9815444946289,2016-01-14 08:00:24+00:00
124566,40.75945281982422,-73.97457885742188,2016-01-14 08:00:23+00:00
125479,40.75263977050781,-73.9853286743164,2016-01-14 08:00:10+00:00
127443,40.71633529663085,-74.01341247558595,2016-01-14 08:00:03+00:00
131921,40.73850631713867,-73.98199462890625,2016-01-14 08:00:27+00:00
132678,40.77340698242188,-73.96512603759766,2016-01-14 08:00:09+00:00
132952,40.75287628173828,-73.969482421875,2016-01-14 08:00:14+00:00
