index,pickup_datetime,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude
769,2016-01-14 08:00:28+00:00,40.77867126464844,-73.9452133178711,40.75994110107422,-73.97220611572266
6037,2016-01-14 08:00:23+00:00,40.75947952270508,-73.99040985107422,40.75947952270508,-73.99040985107422
6087,2016-01-14 08:00:22+00:00,40.762451171875,-73.98627471923827,40.7606315612793,-73.98068237304686
6533,2016-01-14 08:00:02+00:00,40.80022048950195,-73.9696273803711,40.78546142578125,-73.9535903930664
8698,2016-01-14 08:00:10+00:00,40.7681999206543,-73.95577239990234,40.76507186889648,-73.96617126464845
12198,2016-01-14 08:00:18+00:00,40.74635314941406,-74.00012969970702,40.74070739746094,-73.9862289428711
18391,2016-01-14 08:00:09+00:00,40.756511688232415,-73.97621154785155,40.75600814819336,-73.98680114746094
22337,2016-01-14 08:00:25+00:00,40.76451873779297,-73.98110961914062,40.76848983764648,-73.99234008789062
23293,2016-01-14 08:00:27+00:00,40.745853424072266,-73.99803924560547,40.74519348144531,-73.98722839355469
24224,2016-01-14 08:00:06+00:00,40.759132385253906,-73.9623031616211,40.77261734008789,-73.95735931396483
25525,2016-01-14 08:00:21+00:00,40.75440216064453,-73.9656982421875,40.76197052001953,-73.97817993164062
25637,2016-01-14 08:00:00+00:00,40.78704452514648,-73.97116088867188,40.79098892211913,-73.9666519165039
25872,2016-01-14 08:00:13+00:00,40.80067443847656,-73.94019317626955,40.80678939819336,-73.93753051757811
31183,2016-01-14 08:00:02+00:00,40.744422912597656,-73.9920196533203,40.73984146118164,-73.99088287353516
33345,2016-01-14 08:00:03+00:00,40.77025985717773,-73.9513168334961,40.7875862121582,-73.95388793945312
39196,2016-01-14 08:00:16+00:00,40.73137283325195,-73.98231506347656,40.73423385620117,-73.98909759521484
40453,2016-01-14 08:00:09+00:00,40.77447128295898,-73.95735931396483,40.76227951049805,-73.9791259765625
46882,2016-01-14 08:00:16+00:00,40.76618957519531,-73.97920989990234,40.76424026489258,-73.95562744140625
48152,2016-01-14 08:00:01+00:00,40.761329650878906,-73.9868392944336,40.77030944824219,-73.9666290283203
49239,2016-01-14 08:00:00+00:00,40.76588439941406,-73.96333312988281,40.76077651977539,-73.98334503173827
51262,2016-01-14 08:00:02+00:00,40.776771545410156,-73.97550964355469,40.75268173217773,-73.98201751708984
52130,2016-01-14 08:00:28+00:00,40.75168228149415,-73.97948455810547,40.7430076599121,-73.98458099365234
52307,2016-01-14 08:00:24+00:00,40.76681518554688,-73.95379638671875,40.76192855834961,-73.9749298095703
52626,2016-01-14 08:00:11+00:00,40.76937103271485,-73.95211029052734,40.76453018188477,-73.96166229248048
54713,2016-01-14 08:00:14+00:00,40.70703506469727,-74.00696563720702,40.720699310302734,-74.00988006591797
57358,2016-01-14 08:00:19+00:00,40.77895736694336,-73.9883270263672,40.80418014526367,-73.96675872802734
59354,2016-01-14 08:00:21+00:00,40.76580047607422,-73.96351623535155,40.80466079711913,-73.93896484375
60634,2016-01-14 08:00:27+00:00,40.799564361572266,-73.97014617919923,40.78696060180664,-73.9682083129883
65408,2016-01-14 08:00:16+00:00,40.74731063842773,-73.9826431274414,40.75608444213867,-73.99072265625
71217,2016-01-14 08:00:26+00:00,40.76731872558594,-73.95625305175781,40.76046752929688,-73.95944213867188
71466,2016-01-14 08:00:02+00:00,40.74284362792969,-74.00028228759766,40.75121307373047,-73.97854614257811
72008,2016-01-14 08:00:00+00:00,40.72761154174805,-73.97942352294923,40.72768783569336,-73.99321746826173
72412,2016-01-14 08:00:11+00:00,40.77709197998047,-73.9753189086914,40.7604866027832,-73.97107696533203
72413,2016-01-14 08:00:06+00:00,40.77755355834961,-73.97865295410156,40.76775360107422,-73.9857864379883
73764,2016-01-14 08:00:10+00:00,40.76218032836913,-73.99372863769531,40.76628875732422,-73.98065185546875
74828,2016-01-14 08:00:02+00:00,40.763954162597656,-73.97782897949219,40.75628662109375,-73.98663330078125
77871,2016-01-14 08:00:26+00:00,40.75786972045898,-73.96035766601562,40.76412963867188,-73.97595977783203
78204,2016-01-14 08:00:29+00:00,40.75689697265625,-73.98995208740234,40.77325820922852,-73.98056030273438
79771,2016-01-14 08:00:07+00:00,40.75336837768555,-73.96988677978516,40.76040649414063,-73.98042297363281
84247,2016-01-14 08:00:07+00:00,40.77939224243164,-73.97926330566406,40.75074768066406,-73.97479248046875
85883,2016-01-14 08:00:00+00:00,40.79627990722656,-73.97062683105469,40.7669792175293,-73.95375061035155
86890,2016-01-14 08:00:01+00:00,40.762733459472656,-73.9597930908203,40.75435256958008,-73.97637939453125
88718,2016-01-14 08:00:08+00:00,40.79900360107422,-73.96878814697266,40.79489135742188,-73.97364044189453
91424,2016-01-14 08:00:19+00:00,40.774238586425774,-73.96266174316406,40.77873992919922,-73.9580078125
91751,2016-01-14 08:00:00+00:00,40.75703811645508,-73.98981475830078,40.758949279785156,-73.979248046875
92521,2016-01-14 08:00:20+00:00,40.7565803527832,-73.97704315185547,40.76119995117188,-73.97948455810547
92745,2016-01-14 08:00:30+00:00,40.75521087646485,-73.97682189941406,40.76736831665039,-73.98248291015625
93272,2016-01-14 08:00:05+00:00,40.756431579589844,-73.9806900024414,40.75138854980469,-73.97606658935547
93762,2016-01-14 08:00:07+00:00,40.73670959472656,-73.98884582519531,40.76263046264648,-73.97872924804686
94100,2016-01-14 08:00:25+00:00,40.81898880004883,-73.9561004638672,40.85142135620117,-73.93517303466798
99990,2016-01-14 08:00:25+00:00,40.792495727539055,-73.96558380126955,40.80546188354492,-73.94004821777344
